epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.279,0.71039,1.24473,0.94168,0.69547,0.83813,0.73613,0.60093,0.75916,1.75948,1.01967,0.000665463,0.000665463,0.000665463
2,185.239,0.73451,0.73536,0.95874,0.9531,0.96043,0.98709,0.80005,0.71822,0.70061,0.99971,0.00131015,0.00131015,0.00131015
3,268.528,0.71278,0.60768,0.94867,0.98101,0.92922,0.9834,0.8148,0.68299,0.55895,0.96937,0.00193284,0.00193284,0.00193284
4,351.088,0.72324,0.55916,0.96074,0.95154,0.89209,0.97013,0.81322,0.71462,0.57761,0.97463,0.001901,0.001901,0.001901
5,433.748,0.67069,0.49854,0.9345,0.98549,0.97715,0.99358,0.8416,0.65887,0.43792,0.94552,0.001868,0.001868,0.001868
6,516.667,0.65207,0.46584,0.92689,0.96464,0.98128,0.99195,0.84621,0.61579,0.42508,0.92961,0.001835,0.001835,0.001835
7,600.202,0.63578,0.43897,0.91626,0.97788,0.98921,0.99297,0.85279,0.61484,0.38953,0.91351,0.001802,0.001802,0.001802
8,681.974,0.64716,0.44145,0.91787,0.97877,0.99511,0.99368,0.86208,0.59799,0.38321,0.90658,0.001769,0.001769,0.001769
9,748.932,0.61625,0.42324,0.91511,0.9775,0.98921,0.9939,0.85935,0.62066,0.37239,0.92449,0.001736,0.001736,0.001736
10,815.644,0.6193,0.41593,0.90998,0.98207,0.98528,0.99228,0.8669,0.57856,0.35939,0.8924,0.001703,0.001703,0.001703
11,882.275,0.60992,0.40059,0.90773,0.98199,0.99281,0.99453,0.8693,0.57558,0.34018,0.89181,0.00167,0.00167,0.00167
12,948.393,0.60563,0.38784,0.90347,0.98219,0.99184,0.99389,0.87659,0.56409,0.34987,0.88743,0.001637,0.001637,0.001637
13,1015.07,0.58899,0.38133,0.90154,0.98904,0.98561,0.99457,0.88071,0.54886,0.32657,0.88589,0.001604,0.001604,0.001604
14,1082.47,0.58276,0.38382,0.8978,0.96445,0.97601,0.9922,0.862,0.59626,0.35789,0.90634,0.001571,0.001571,0.001571
15,1149.53,0.58123,0.37502,0.90241,0.98862,0.9964,0.99489,0.89299,0.53657,0.31041,0.87911,0.001538,0.001538,0.001538
16,1216.37,0.57296,0.36249,0.89329,0.99275,0.98449,0.99397,0.87556,0.53668,0.30125,0.87231,0.001505,0.001505,0.001505
17,1283.17,0.57327,0.3602,0.88743,0.99051,0.98921,0.99457,0.88907,0.53555,0.30484,0.87122,0.001472,0.001472,0.001472
18,1350.48,0.56532,0.35423,0.88812,0.98905,0.99281,0.99478,0.8859,0.53505,0.30416,0.87724,0.001439,0.001439,0.001439
19,1417.71,0.56161,0.35471,0.88987,0.97872,0.99244,0.99214,0.87378,0.55546,0.31585,0.87256,0.001406,0.001406,0.001406
20,1496.58,0.55926,0.34301,0.88471,0.96317,0.98561,0.9927,0.89008,0.51705,0.30118,0.8684,0.001373,0.001373,0.001373
21,1579.66,0.55765,0.34183,0.89028,0.98368,0.9964,0.99449,0.88429,0.53025,0.30511,0.87045,0.00134,0.00134,0.00134
22,1662.92,0.54351,0.33502,0.88207,0.9902,0.98921,0.99419,0.88722,0.52749,0.2927,0.86531,0.001307,0.001307,0.001307
23,1746.07,0.5494,0.33662,0.8866,0.98928,0.99546,0.99409,0.88575,0.5166,0.27373,0.87321,0.001274,0.001274,0.001274
24,1828.92,0.55173,0.32948,0.88867,0.99278,0.9886,0.99482,0.88177,0.53156,0.28524,0.86754,0.001241,0.001241,0.001241
25,1912.01,0.53351,0.32896,0.87618,0.99479,0.99281,0.99435,0.89749,0.50756,0.2766,0.86582,0.001208,0.001208,0.001208
26,1995.03,0.53813,0.32294,0.87888,0.99227,1,0.9941,0.88573,0.52844,0.27331,0.86577,0.001175,0.001175,0.001175
27,2079.75,0.53858,0.32064,0.88105,0.99282,0.99438,0.99464,0.88975,0.52158,0.27789,0.86597,0.001142,0.001142,0.001142
28,2164.72,0.53541,0.31292,0.88368,0.98843,1,0.99489,0.90007,0.49511,0.26602,0.85695,0.001109,0.001109,0.001109
29,2248.54,0.52582,0.31186,0.87146,0.99704,0.99281,0.995,0.89326,0.51768,0.27725,0.86477,0.001076,0.001076,0.001076
30,2332.78,0.52882,0.31686,0.87593,0.99507,1,0.99432,0.88834,0.51568,0.26959,0.86075,0.001043,0.001043,0.001043
31,2417.6,0.51731,0.3114,0.86951,0.9847,0.99281,0.99482,0.89646,0.49181,0.27395,0.85091,0.00101,0.00101,0.00101
32,2502.24,0.51698,0.30395,0.87288,0.99641,0.99959,0.995,0.90435,0.4833,0.24962,0.85003,0.000977,0.000977,0.000977
33,2586.44,0.51889,0.2986,0.87239,0.9964,1,0.995,0.89379,0.49543,0.26094,0.85366,0.000944,0.000944,0.000944
34,2670.99,0.51095,0.30128,0.86937,0.99285,0.99937,0.99432,0.89961,0.49738,0.25619,0.85048,0.000911,0.000911,0.000911
35,2754.95,0.51439,0.29575,0.86917,0.99237,1,0.99493,0.90585,0.48491,0.24531,0.85316,0.000878,0.000878,0.000878
36,2838.86,0.49976,0.29623,0.8723,0.9964,0.99505,0.995,0.90762,0.47623,0.24503,0.8501,0.000845,0.000845,0.000845
37,2923.65,0.5064,0.29603,0.87209,0.99588,1,0.99478,0.90471,0.49514,0.24683,0.85701,0.000812,0.000812,0.000812
38,3008.18,0.50312,0.29136,0.86963,0.99634,1,0.99496,0.90258,0.49687,0.24083,0.85589,0.000779,0.000779,0.000779
39,3092.67,0.48123,0.28161,0.8644,0.99641,0.9995,0.995,0.90602,0.47941,0.23353,0.85131,0.000746,0.000746,0.000746
40,3176.99,0.48899,0.27908,0.86538,0.99249,1,0.99364,0.90702,0.46542,0.23298,0.84783,0.000713,0.000713,0.000713
41,3261.86,0.48545,0.27578,0.86022,0.99564,1,0.99435,0.90488,0.49296,0.23333,0.85417,0.00068,0.00068,0.00068
42,3346.06,0.48972,0.27244,0.8646,0.99641,0.99974,0.99428,0.90934,0.46409,0.23109,0.84573,0.000647,0.000647,0.000647
43,3431.1,0.48296,0.27204,0.86053,0.99213,1,0.99482,0.90719,0.47522,0.2291,0.84696,0.000614,0.000614,0.000614
44,3516.19,0.48989,0.27773,0.86367,0.99524,0.9964,0.99464,0.89982,0.48875,0.24241,0.84977,0.000581,0.000581,0.000581
45,3600.89,0.47552,0.26581,0.86391,0.99637,1,0.99471,0.90781,0.46313,0.2252,0.84425,0.000548,0.000548,0.000548
46,3685.91,0.48581,0.27264,0.86275,0.99516,1,0.99496,0.91202,0.46185,0.22126,0.84118,0.000515,0.000515,0.000515
47,3770.23,0.47657,0.26074,0.86051,0.99867,1,0.995,0.90694,0.48313,0.21633,0.8457,0.000482,0.000482,0.000482
48,3854.81,0.47017,0.2588,0.8545,0.99621,1,0.99482,0.91244,0.46364,0.218,0.84236,0.000449,0.000449,0.000449
49,3939.62,0.46836,0.25222,0.85686,0.99607,1,0.99428,0.90605,0.47584,0.22414,0.84561,0.000416,0.000416,0.000416
50,4024.39,0.46253,0.25274,0.8556,0.99638,1,0.9945,0.91545,0.4563,0.21423,0.84048,0.000383,0.000383,0.000383
51,4132.34,0.44054,0.22572,0.83965,0.99961,1,0.995,0.90681,0.46871,0.2203,0.84257,0.00035,0.00035,0.00035
52,4217.04,0.43385,0.22389,0.83407,0.99968,1,0.995,0.90709,0.46068,0.21847,0.8399,0.000317,0.000317,0.000317
53,4302.02,0.42818,0.21761,0.83154,0.99962,1,0.995,0.91566,0.4557,0.2106,0.84072,0.000284,0.000284,0.000284
54,4387.61,0.42585,0.21306,0.83826,0.99968,1,0.995,0.91719,0.4514,0.20743,0.8368,0.000251,0.000251,0.000251
55,4472.33,0.42329,0.20928,0.82494,0.99969,1,0.995,0.91465,0.45279,0.20458,0.83679,0.000218,0.000218,0.000218
56,4557.27,0.42209,0.20713,0.82576,0.99972,1,0.995,0.92011,0.44727,0.20323,0.8347,0.000185,0.000185,0.000185
57,4642.03,0.41612,0.20585,0.8272,0.99957,1,0.995,0.9173,0.44937,0.19958,0.83662,0.000152,0.000152,0.000152
58,4726.8,0.41406,0.20179,0.82853,0.99965,1,0.995,0.91495,0.43998,0.19898,0.83394,0.000119,0.000119,0.000119
59,4811.8,0.40875,0.19742,0.82353,0.99948,1,0.995,0.91753,0.43983,0.19827,0.83401,8.6e-05,8.6e-05,8.6e-05
60,4896.72,0.40973,0.19774,0.8213,0.9996,1,0.995,0.91888,0.43787,0.19368,0.83379,5.3e-05,5.3e-05,5.3e-05
